ID,Title,Alias,Author,Description,Content,Image,Image,Is Published,Is Removed,Created At,Published At,Updated At,Removed At,Categories
81,Modesty Rabnott Snidget Conservation Area,reserve-reserve-named-after-modesti-abbott,4,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Modesty Rabnott Snidget Conservation Area""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Modesty Rabnott Snidget Conservation Area""}}]",,,TRUE,FALSE,-1575 hours 44 minutes 20 seconds,-1575 hours 44 minutes 20 seconds,NULL,NULL,4
82,Voldemort Day,voldemort-day,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Voldemort Day""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Voldemort Day""}}]",,,TRUE,FALSE,-1554 hours 42 minutes 59 seconds,-1554 hours 42 minutes 59 seconds,NULL,NULL,1
83,Great Sasquatch Rebellion,great-saskwatch-revolt,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Great Sasquatch Rebellion""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Great Sasquatch Rebellion""}}]",,,TRUE,FALSE,-1533 hours 30 minutes 8 seconds,-1533 hours 30 minutes 8 seconds,NULL,NULL,1
84,Duel between Molly Weasley and Bellatrix Lestrange,duel-between-molly-weasley,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Duel between Molly Weasley and Bellatrix Lestrange""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Duel between Molly Weasley and Bellatrix Lestrange""}}]",,,TRUE,FALSE,-1512 hours 25 minutes 57 seconds,-1512 hours 25 minutes 57 seconds,NULL,NULL,1
85,Slug Club,club-slugs,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Slug Club""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Slug Club""}}]",,,TRUE,FALSE,-1491 hours 38 minutes 2 seconds,-1491 hours 38 minutes 2 seconds,NULL,NULL,4
86,Christmas ball,holy-ball,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Christmas ball""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Christmas ball""}}]",,,TRUE,FALSE,-1470 hours 53 minutes 4 seconds,-1470 hours 53 minutes 4 seconds,NULL,NULL,1
87,S.K.A.U.B.L.D.,skuubld,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of S.K.A.U.B.L.D.""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of S.K.A.U.B.L.D.""}}]",,,TRUE,FALSE,-1449 hours 6 minutes 56 seconds,-1449 hours 6 minutes 56 seconds,NULL,NULL,4
88,Theft of the Philosopher's Stone,abduction-of-philosophers-stone,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Theft of the Philosopher's Stone""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Theft of the Philosopher's Stone""}}]",,,TRUE,FALSE,-1428 hours 49 minutes 37 seconds,-1428 hours 49 minutes 37 seconds,NULL,NULL,1
89,Boxing Day,boxing-day,4,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Boxing Day""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Boxing Day""}}]",,,TRUE,FALSE,-1407 hours 35 minutes 11 seconds,-1407 hours 35 minutes 11 seconds,NULL,NULL,1
90,Undermining the bridge,undermining-bridge,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Undermining the bridge""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Undermining the bridge""}}]",,,TRUE,FALSE,-1386 hours 39 minutes 59 seconds,-1386 hours 39 minutes 59 seconds,NULL,NULL,1
91,Wizard Council,council-of-wizards,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Wizard Council""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Wizard Council""}}]",,,TRUE,FALSE,-1365 hours 50 minutes 46 seconds,-1365 hours 50 minutes 46 seconds,NULL,NULL,4
92,Seven Potters,seven-potter,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Seven Potters""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Seven Potters""}}]",,,TRUE,FALSE,-1344 hours 3 minutes 52 seconds,-1344 hours 3 minutes 52 seconds,NULL,NULL,1
93,Dumbledore's squad,dumbledores-detachment,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Dumbledore's squad""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Dumbledore's squad""}}]",,,TRUE,FALSE,-1323 hours 29 minutes 26 seconds,-1323 hours 29 minutes 26 seconds,NULL,NULL,4
94,Skirmish in the Forbidden Forest,skirmish-in-forbidden-forest,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Skirmish in the Forbidden Forest""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Skirmish in the Forbidden Forest""}}]",,,TRUE,FALSE,-1302 hours 24 minutes 30 seconds,-1302 hours 24 minutes 30 seconds,NULL,NULL,1
95,Fairy League,league-of-sorceresses,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Fairy League""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Fairy League""}}]",,,TRUE,FALSE,-1281 hours 40 minutes 1 seconds,-1281 hours 40 minutes 1 seconds,NULL,NULL,4
96,All England Competition for the Best Keepers of Suburban Lawns,all-england-competition-of-best-masters,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of All England Competition for the Best Keepers of Suburban Lawns""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of All England Competition for the Best Keepers of Suburban Lawns""}}]",,,TRUE,FALSE,-1260 hours 8 minutes 25 seconds,-1260 hours 8 minutes 25 seconds,NULL,NULL,1
97,Protective Magic,protective-magic,4,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Protective Magic""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Protective Magic""}}]",,,TRUE,FALSE,-1239 hours 14 minutes 8 seconds,-1239 hours 14 minutes 8 seconds,NULL,NULL,2
98,Gathering at Malfoy Manor,meeting-at-malfoy-manor,4,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Gathering at Malfoy Manor""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Gathering at Malfoy Manor""}}]",,,TRUE,FALSE,-1218 hours 53 minutes 37 seconds,-1218 hours 53 minutes 37 seconds,NULL,NULL,1
99,Director,director,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Director""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Director""}}]",,,TRUE,FALSE,-1197 hours 30 minutes 48 seconds,-1197 hours 30 minutes 48 seconds,NULL,NULL,5
100,Halloween feast,halloween-feast,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Halloween feast""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Halloween feast""}}]",,,TRUE,FALSE,-1176 hours 10 minutes 10 seconds,-1176 hours 10 minutes 10 seconds,NULL,NULL,1
101,Purely Extraordinary Potions Society,extremely-extraordinary-society-of-potionsists,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Purely Extraordinary Potions Society""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Purely Extraordinary Potions Society""}}]",,,TRUE,FALSE,-1155 hours 1 minutes 55 seconds,-1155 hours 1 minutes 55 seconds,NULL,NULL,4
102,School Coach,school-trainer,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of School Coach""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of School Coach""}}]",,,TRUE,FALSE,-1134 hours 46 minutes 33 seconds,-1134 hours 46 minutes 33 seconds,NULL,NULL,5
103,Millamant's Magical Matter,magical-matter-of-millamant,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Millamant's Magical Matter""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Millamant's Magical Matter""}}]",,,TRUE,FALSE,-1113 hours 44 minutes 10 seconds,-1113 hours 44 minutes 10 seconds,NULL,NULL,4
104,Bloody Carnival,bloody-carnival,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Bloody Carnival""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Bloody Carnival""}}]",,,TRUE,FALSE,-1092 hours 33 minutes 24 seconds,-1092 hours 33 minutes 24 seconds,NULL,NULL,1
105,Student,student,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Student""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Student""}}]",,,TRUE,FALSE,-1071 hours 19 minutes 54 seconds,-1071 hours 19 minutes 54 seconds,NULL,NULL,5
106,Attack on Dedalus Dingle's house,attack-on-house-of-dedalus-dingle,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Attack on Dedalus Dingle's house""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Attack on Dedalus Dingle's house""}}]",,,TRUE,FALSE,-1050 hours 52 minutes 5 seconds,-1050 hours 52 minutes 5 seconds,NULL,NULL,1
107,Inspector General,inspector-general,4,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Inspector General""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Inspector General""}}]",,,TRUE,FALSE,-1029 hours 21 minutes 56 seconds,-1029 hours 21 minutes 56 seconds,NULL,NULL,5
108,Board of Trustees,board-of-supervisors,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Board of Trustees""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Board of Trustees""}}]",,,TRUE,FALSE,-1008 hours 6 minutes 52 seconds,-1008 hours 6 minutes 52 seconds,NULL,NULL,5
109,Fidelius,fidelius,4,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Fidelius""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Fidelius""}}]",,,TRUE,FALSE,-987 hours 47 minutes 16 seconds,-987 hours 47 minutes 16 seconds,NULL,NULL,3
110,Deputy Director,deputy-director,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Deputy Director""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Deputy Director""}}]",,,TRUE,FALSE,-966 hours 48 minutes 48 seconds,-966 hours 48 minutes 48 seconds,NULL,NULL,5
111,Rite of sacrifice,rite-of-sacrifice,4,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Rite of sacrifice""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Rite of sacrifice""}}]",,,TRUE,FALSE,-945 hours 3 minutes 41 seconds,-945 hours 3 minutes 41 seconds,NULL,NULL,3
112,Attack on Arthur Weasley,assault-on-arthur-weasley,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Attack on Arthur Weasley""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Attack on Arthur Weasley""}}]",,,TRUE,FALSE,-924 hours 16 minutes 42 seconds,-924 hours 16 minutes 42 seconds,NULL,NULL,1
113,Second Magical War,second-magical-war,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Second Magical War""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Second Magical War""}}]",,,TRUE,FALSE,-903 hours 15 minutes 30 seconds,-903 hours 15 minutes 30 seconds,NULL,NULL,1
114,Mental Magic,mental-magic,4,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Mental Magic""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Mental Magic""}}]",,,TRUE,FALSE,-882 hours 39 minutes 34 seconds,-882 hours 39 minutes 34 seconds,NULL,NULL,2
115,November incident in London,november-incident-in-london,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of November incident in London""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of November incident in London""}}]",,,TRUE,FALSE,-861 hours 24 minutes 31 seconds,-861 hours 24 minutes 31 seconds,NULL,NULL,1
116,halloween,halloween,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of halloween""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of halloween""}}]",,,TRUE,FALSE,-840 hours 9 minutes 18 seconds,-840 hours 9 minutes 18 seconds,NULL,NULL,1
117,Meeting in the Great Hall,meeting-in-great-hall,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Meeting in the Great Hall""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Meeting in the Great Hall""}}]",,,TRUE,FALSE,-819 hours 57 minutes 32 seconds,-819 hours 57 minutes 32 seconds,NULL,NULL,1
118,Paracelsus,paracelsus,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Paracelsus""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Paracelsus""}}]",,,TRUE,FALSE,-798 hours 35 minutes 22 seconds,-798 hours 35 minutes 22 seconds,NULL,NULL,6
119,Albus Dumbledore,albus-dumbledore,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Albus Dumbledore""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Albus Dumbledore""}}]",,,TRUE,FALSE,-777 hours 20 minutes 2 seconds,-777 hours 20 minutes 2 seconds,NULL,NULL,6
120,Death Eaters,death-eaters,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Death Eaters""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Death Eaters""}}]",,,TRUE,FALSE,-756 hours 28 minutes 15 seconds,-756 hours 28 minutes 15 seconds,NULL,NULL,4
121,Hike to the Forbidden Forest,trekking-in-forbidden-forest,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Hike to the Forbidden Forest""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Hike to the Forbidden Forest""}}]",,,TRUE,FALSE,-735 hours 37 minutes 17 seconds,-735 hours 37 minutes 17 seconds,NULL,NULL,1
122,Mass Escape from Azkaban,mass-escape-from-azkaban,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Mass Escape from Azkaban""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Mass Escape from Azkaban""}}]",,,TRUE,FALSE,-714 hours 11 minutes 18 seconds,-714 hours 11 minutes 18 seconds,NULL,NULL,1
123,Battle for Philosopher's Stone,battle-for-philosophers-stone,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Battle for Philosopher's Stone""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Battle for Philosopher's Stone""}}]",,,TRUE,FALSE,-693 hours 18 minutes 18 seconds,-693 hours 18 minutes 18 seconds,NULL,NULL,1
124,Potion Master,potions-master,4,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Potion Master""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Potion Master""}}]",,,TRUE,FALSE,-672 hours 34 minutes 25 seconds,-672 hours 34 minutes 25 seconds,NULL,NULL,5
125,Army of werewolves,army-of-werewolves,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Army of werewolves""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Army of werewolves""}}]",,,TRUE,FALSE,-651 hours 59 minutes 20 seconds,-651 hours 59 minutes 20 seconds,NULL,NULL,4
126,Valentine's Day,valentines-day,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Valentine's Day""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Valentine's Day""}}]",,,TRUE,FALSE,-630 hours 50 minutes 28 seconds,-630 hours 50 minutes 28 seconds,NULL,NULL,1
127,Raid on the Ministry of Magic,plaque-to-ministry-of-magic,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Raid on the Ministry of Magic""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Raid on the Ministry of Magic""}}]",,,TRUE,FALSE,-609 hours 31 minutes 53 seconds,-609 hours 31 minutes 53 seconds,NULL,NULL,1
128,Assistants to Madam Pomfrey,assistant-madame-pomfrey,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Assistants to Madam Pomfrey""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Assistants to Madam Pomfrey""}}]",,,TRUE,FALSE,-588 hours 29 minutes 34 seconds,-588 hours 29 minutes 34 seconds,NULL,NULL,5
129,Headless Hunters Club,club-of-headless-hunters,4,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Headless Hunters Club""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Headless Hunters Club""}}]",,,TRUE,FALSE,-567 hours 8 minutes 56 seconds,-567 hours 8 minutes 56 seconds,NULL,NULL,4
130,Battle for Hogwarts,battle-of-hogwarts,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Battle for Hogwarts""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Battle for Hogwarts""}}]",,,TRUE,FALSE,-546 hours 4 minutes 9 seconds,-546 hours 4 minutes 9 seconds,NULL,NULL,1
131,Hector Dugworth-Granger,hector-dagworth-granger,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Hector Dugworth-Granger""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Hector Dugworth-Granger""}}]",,,TRUE,FALSE,-525 hours 58 minutes 38 seconds,-525 hours 58 minutes 38 seconds,NULL,NULL,6
132,Jaeger,jaeger,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Jaeger""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Jaeger""}}]",,,TRUE,FALSE,-504 hours 7 minutes 26 seconds,-504 hours 7 minutes 26 seconds,NULL,NULL,4
133,School Healer,school-healer,4,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of School Healer""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of School Healer""}}]",,,TRUE,FALSE,-483 hours 40 minutes 3 seconds,-483 hours 40 minutes 3 seconds,NULL,NULL,5
134,Light Enchantment,lighting-enchantment,4,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Light Enchantment""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Light Enchantment""}}]",,,TRUE,FALSE,-462 hours 13 minutes 57 seconds,-462 hours 13 minutes 57 seconds,NULL,NULL,2
135,State Farm,state-farm,4,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of State Farm""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of State Farm""}}]",,,TRUE,FALSE,-441 hours 32 minutes 34 seconds,-441 hours 32 minutes 34 seconds,NULL,NULL,5
136,Universal Brooms Limited,universal-broomz-limited,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Universal Brooms Limited""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Universal Brooms Limited""}}]",,,TRUE,FALSE,-420 hours 22 minutes 43 seconds,-420 hours 22 minutes 43 seconds,NULL,NULL,4
137,Professor,professor,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Professor""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Professor""}}]",,,TRUE,FALSE,-399 hours 51 minutes 47 seconds,-399 hours 51 minutes 47 seconds,NULL,NULL,5
138,Head of the faculty,head-of-faculty,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Head of the faculty""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Head of the faculty""}}]",,,TRUE,FALSE,-378 hours 55 minutes 49 seconds,-378 hours 55 minutes 49 seconds,NULL,NULL,5
139,Argo Pirits,argo-pirits,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Argo Pirits""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Argo Pirits""}}]",,,TRUE,FALSE,-357 hours 56 minutes 3 seconds,-357 hours 56 minutes 3 seconds,NULL,NULL,6
140,Trekking to The Colony of Giants,trekking-to-colony-of-giants,4,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Trekking to The Colony of Giants""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Trekking to The Colony of Giants""}}]",,,TRUE,FALSE,-336 hours 12 minutes 27 seconds,-336 hours 12 minutes 27 seconds,NULL,NULL,1
141,Goodwin's Best Ice Cream,best-ice-cream-goodwin,4,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Goodwin's Best Ice Cream""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Goodwin's Best Ice Cream""}}]",,,TRUE,FALSE,-315 hours 2 minutes 45 seconds,-315 hours 2 minutes 45 seconds,NULL,NULL,4
142,Horace Slughorn,horace-slughorn,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Horace Slughorn""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Horace Slughorn""}}]",,,TRUE,FALSE,-294 hours 42 minutes 49 seconds,-294 hours 42 minutes 49 seconds,NULL,NULL,6
143,Rotteeth,rotting-teeth,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Rotteeth""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Rotteeth""}}]",,,TRUE,FALSE,-273 hours 27 minutes 6 seconds,-273 hours 27 minutes 6 seconds,NULL,NULL,4
144,Silver Spears,silver-spears,4,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Silver Spears""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Silver Spears""}}]",,,TRUE,FALSE,-252 hours 38 minutes 37 seconds,-252 hours 38 minutes 37 seconds,NULL,NULL,4
145,Total Liberation from Azkaban,total-liberation-from-azkaban,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Total Liberation from Azkaban""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Total Liberation from Azkaban""}}]",,,TRUE,FALSE,-231 hours 23 minutes 54 seconds,-231 hours 23 minutes 54 seconds,NULL,NULL,1
146,First magical war,first-magical-war,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of First magical war""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of First magical war""}}]",,,TRUE,FALSE,-210 hours 26 minutes 57 seconds,-210 hours 26 minutes 57 seconds,NULL,NULL,1
147,Dean of the Hufflepuff Faculty,dean-of-faculty-of-puffenduy,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Dean of the Hufflepuff Faculty""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Dean of the Hufflepuff Faculty""}}]",,,TRUE,FALSE,-189 hours 41 minutes 22 seconds,-189 hours 41 minutes 22 seconds,NULL,NULL,5
148,Wedding of James Potter and Lily Evans,wedding-of-james-potter-and-lily-evans,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Description of Wedding of James Potter and Lily Evans""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Content of Wedding of James Potter and Lily Evans""}}]",148-wedding-of-james-potter-and-lily-evans.jpg,148-wedding-of-james-potter-and-lily-evans.jpg,TRUE,TRUE,-168 hours 17 minutes 36 seconds,-168 hours 17 minutes 36 seconds,-1 hours 1 minutes 3 seconds,-1 hours 1 minutes 3 seconds,"1, 3"
149,Battle Magic,battle-magic,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Battle magic - various wounding and killing spells. Since almost any spell can be used in combat, only those spells that cannot be used except in combat are placed in this category.""}}]","[{""type"": ""paragraph"", ""data"": {""text"": ""Battle magic - various wounding and killing spells. Since almost any spell can be used in combat, only those spells that cannot be used except in combat are placed in this category.""}}]",,,TRUE,FALSE,-57 hours 43 minutes 15 seconds,-57 hours 43 minutes 15 seconds,NULL,NULL,2
150,Dragons,dragons,3,"[{""type"": ""paragraph"", ""data"": {""text"": ""Dragons were giant winged, fire-breathing reptilian beasts. Widely regarded as terrifying yet awe-inspiring, they could be found all over the world and were frequently referred to in Asian and medieval European folklore.""}}]","[{""type"":""header"",""data"":{""text"":""Early life"",""level"":2}},{""type"":""paragraph"",""data"":{""text"":""Dragon mothers breathed fire on their eggs to keep them warm. They did not keep their eggs in nests. Newly born dragons were referred to as chicks. The dragon's first fire breaths, usually accompanied by thick grey smoke, appeared when the dragon was around six months old.""}},{""type"":""paragraph"",""data"":{""text"":""However, the ability to fly was normally developed later, at around twelve months, and the dragon would not be fully mature until it was two years old and ready to live on its own. Dragon Breeding for Pleasure and Profit stated that you were to feed a baby dragon a bucket of brandy mixed with chicken blood every half hour. This apparently served as a replacement for dragon milk.""}},{""type"":""header"",""data"":{""text"":""Social Behaviour"",""level"":2}},{""type"":""paragraph"",""data"":{""text"":""Not much is known about dragon behaviour, however it seemed that, at least with the Chinese Fireball, females were generally larger and dominant over males. Fantastic Beasts and Where to Find Them stated that sometimes females ousted males from their territories, at least with the Antipodean Opaleye.""}},{""type"":""paragraph"",""data"":{""text"":""It also stated that Fireballs were unusual in that they were willing to share territory with one another, although no more than three dragons would share the same territory. This indicated that dragons were highly territorial.""}},{""type"":""header"",""data"":{""text"":""Dragons in The Wizarding World"",""level"":2}},{""type"":""paragraph"",""data"":{""text"":""Many useful materials came from dragons, but they were hard to obtain (see Uses below). It took almost half a dozen wizards just to stun a dragon. Muggles believe that dragons are a mere myth, but have been known on occasion to glimpse these beasts. To prevent them from being seen by Muggles, and to protect them from poaching, dragons were kept in dragon reserves around the world, most of which were far from human habitation. Dragons couldn't be domesticated, despite individuals trying to do so.""}},{""type"":""header"",""data"":{""text"":""Uses"",""level"":3}},{""type"":""list"",""data"":{""style"":""ordered"",""items"":[""Dragons were used in the First Task of the Triwizard Tournament of 1994."",""Dragons were also used to guard certain vaults at Gringotts Wizarding Bank."",""Though they couldn't be domesticated, there was one known instance of a dragon being used as a mount."",""The dragon model, like the model in the First Task of Triwizard Tournament of 1994.""]}}]",,,TRUE,FALSE,-45 hours 49 minutes 23 seconds,-45 hours 49 minutes 23 seconds,NULL,NULL,
151,The Battle of the Department of Mysteries,ministry-of-magic,4,"[{""type"": ""paragraph"", ""data"": {""text"": ""The Battle of the Department of Mysteries, also known as the Battle of the Ministry of Magic, was the very first major conflict of the Second Wizarding War.""}}]","[{""type"":""paragraph"",""data"":{""text"":""The Battle of the Department of Mysteries, also known as the Battle of the Ministry of Magic, was the very first major conflict of the Second Wizarding War. It took place on 18 June 1996, after the powerful Dark Wizard Lord Voldemort secretly lured his archenemy Harry Potter to the Department of Mysteries inside the British Ministry of Magic in London in an effort to obtain the prophecy concerning his futuristic defeat at Potter's hands, as the young wizard was the one prophesied to end Voldemort and his dark reign for good.""}},{""type"":""paragraph"",""data"":{""text"":""Once at the Ministry, Harry was cornered by at least a dozen Death Eaters, but the young hero was aided by five of his fellow members of Dumbledore's Army: Ron Weasley, Hermione Granger, Neville Longbottom, Ginny Weasley, and Luna Lovegood; all of whom managed to successfully hold their ground and fend off the Death Eaters until the Order of the Phoenix came to their rescue.""}},{""type"":""paragraph"",""data"":{""text"":""In the resulting skirmish, the prophecy was accidentally destroyed, Voldemort was personally seen by Minister Cornelius Fudge himself, all but one of the Death Eaters were captured by Albus Dumbledore, and Sirius Black was killed by his deranged and sadistic cousin Bellatrix Lestrange. In the immediate future the Ministry of Magic will take proper action against Voldemort's newfound rising power, thus the start of open warfare.""}}]",,,FALSE,FALSE,-32 hours 45 minutes 42 seconds,-32 hours 45 minutes 42 seconds,NULL,NULL,1
